mes_id,protesta_masiva,numero_eventos_previos,duracion_horas,numero_participantes,numero_detenidos,periodo_pre90,periodo_90_00,periodo_01_16,actor_laboral,actor_territorial_social,actor_economico,actor_estudiantil,violencia_y
2,0,24,24.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,24,48.0,600.0,15.0,1,0,0,0,0,0,1,0
2,1,24,48.0,3500.0,15.0,1,0,0,0,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,24,72.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,24,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,1,6.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,24,72.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,24,288.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,1,48.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,1,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,24,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,120.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,0,0,0,1,1
2,0,1,9.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,24,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,1,24.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,24,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,1,3.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,24,408.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,24,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,1,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,24,432.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,24,24.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,24,480.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,1,48.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,24,456.0,600.0,15.0,1,0,0,1,0,0,0,0
2,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
2,0,24,48.0,600.0,15.0,1,0,0,0,0,0,0,0
2,0,1,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,1,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,1,48.0,600.0,15.0,1,0,0,0,1,0,0,1
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,12,24.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,0,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,1,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,700.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,120.0,15.0,1,0,0,1,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,12,48.0,115.0,15.0,1,0,0,0,0,1,0,0
3,0,0,48.0,2200.0,15.0,1,0,0,0,0,1,0,0
3,0,57,24.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,108.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,1,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,600.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,5.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,1,57,48.0,30000.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,720.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,12,48.0,115.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,0,24.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,12.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,24.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,1
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,7.0,1,0,0,0,0,1,0,1
3,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,2,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,1,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,2,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,1,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,6,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,2,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,3,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,3,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,1
3,0,0,48.0,3000.0,2.0,1,0,0,0,0,1,0,0
3,0,0,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,528.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,0,0,0,0,0
3,0,57,48.0,600.0,15.0,1,0,0,1,0,0,0,0
3,0,57,48.0,120.0,15.0,1,0,0,1,0,0,0,0
3,0,12,48.0,600.0,15.0,1,0,0,0,0,1,0,0
3,0,12,24.0,600.0,15.0,1,0,0,0,0,1,0,0
4,0,14,48.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,0,0,0,0,0
4,0,60,48.0,600.0,15.0,1,0,0,1,0,0,0,0
